path,class_name,label_idx,split,is_augmented
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (1).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (10).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (100).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (101).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (102).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (103).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (104).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (105).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (106).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (107).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (108).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (109).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (11).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (110).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (111).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (112).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (113).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (114).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (115).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (116).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (117).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (118).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (119).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (12).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (120).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (121).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (122).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (123).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (124).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (125).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (126).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (127).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (128).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (129).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (13).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (130).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (131).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (132).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (133).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (134).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (135).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (136).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (137).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (138).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (139).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (14).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (140).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (141).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (142).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (143).JPG,Arjun Leaf,0,,False
E:\medicinal_plant_clf\data\dataset\Original Images\Arjun Leaf\Arjun Leaf (144).JPG,Arjun Leaf,0,,False
